,AcidRed87-1gL,MethyleneB-250mgL,NaCl,NaOH-1M,PCAT_Gee-T/M/W,PCAT_Gee-pt/g-c3n4,PVP-1wt,RhodamineB-1gL,SDS-1wt,Target
156,0.25,1.0,0.0,0.0,0.25,4.0,0.75,0.25,0.0,33.3982051145867
157,0.25,0.0,0.0,1.25,0.25,4.01,0.75,0.25,0.0,9.18212961919816
158,0.25,0.75,0.0,0.5,0.25,4.01,0.75,0.25,0.0,11.6387028576842
159,0.25,1.25,0.0,0.0,0.25,4.0,0.75,0.25,0.0,32.9377309153773
160,0.25,0.75,0.0,0.75,0.25,3.99,0.75,0.25,0.0,9.07089084600591
161,0.25,1.0,0.0,0.5,0.25,3.98,0.75,0.25,0.0,12.1492350919287
162,0.25,0.5,0.0,1.0,0.25,4.0,0.75,0.25,0.0,8.22559158400689
163,0.25,1.25,0.0,0.25,0.25,4.01,0.75,0.25,0.0,21.4070200764719
164,0.25,1.5,0.0,0.0,0.25,4.0,0.75,0.25,0.0,18.1381817884929
165,0.25,1.0,0.0,1.0,0.25,3.99,0.75,0.25,0.0,7.37491475342847
166,0.25,1.75,0.0,0.25,0.25,4.0,0.75,0.25,0.0,20.7550424669608
167,0.25,1.0,0.0,1.25,0.25,3.9,0.75,0.25,0.0,7.14254045744934
168,1.0,0.0,0.0,0.0,4.0,5.06,0.0,0.0,0.0,36.7782512726364
169,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,35.9609523750504
170,0.25,0.25,0.0,0.0,0.5,3.98,0.75,0.25,0.0,22.3630605110168
171,0.25,0.5,0.0,0.0,0.5,3.98,0.75,0.25,0.0,46.3294192117445
172,0.25,0.75,0.0,0.0,0.5,3.99,0.75,0.25,0.0,43.4602615493928
173,0.25,1.0,0.0,0.0,0.5,4.0,0.75,0.25,0.0,42.069381334447
174,0.25,0.5,1.0,0.0,1.0,4.8,1.0,0.5,0.0,60.3606764945878
175,0.25,0.25,0.0,0.0,0.5,4.02,0.5,0.75,0.5,53.1474567252208
176,0.25,1.5,0.0,0.0,0.5,3.98,0.75,0.25,0.0,34.9987643511023
177,0.25,1.25,0.0,0.0,0.5,4.03,0.75,0.25,0.0,40.7578273343221
178,0.25,2.0,0.0,0.0,0.5,3.98,0.75,0.25,0.0,32.760427857422
179,0.25,1.75,0.0,0.0,0.5,3.99,0.75,0.25,0.0,32.2228395194991
180,0.25,1.0,0.0,0.0,0.5,4.37,1.0,0.75,0.0,50.8093664657186
181,0.5,0.75,0.0,0.0,0.25,4.8,0.75,0.5,0.0,56.7326040550492
182,0.5,0.75,0.0,0.0,0.25,3.61,0.75,0.5,0.25,46.4729769692333
183,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,37.2268807700112
184,1.0,0.0,0.0,0.0,4.0,4.99,0.0,0.0,0.0,36.064977926132
185,0.25,0.25,0.0,0.0,0.5,3.98,0.75,0.25,0.0,21.3309108770286
186,0.25,0.0,0.0,0.0,0.5,3.99,0.75,0.25,0.0,53.8871770028075
187,0.25,0.5,0.0,0.0,0.5,3.97,0.75,0.25,0.0,45.4975701761159
188,0.25,0.25,0.0,0.0,0.5,4.0,0.75,0.25,0.0,47.6492490093637
189,0.25,0.75,0.0,0.0,0.5,3.99,0.75,0.25,0.0,43.8427475885087
190,0.25,1.0,0.0,0.0,0.5,3.98,0.75,0.25,0.0,41.2631940150149
191,0.25,1.25,0.0,0.0,0.5,3.98,0.75,0.25,0.0,38.667054567637
192,0.25,0.5,0.0,0.0,0.5,3.94,0.75,0.25,0.0,43.4329623831451
193,0.25,1.25,0.0,0.0,0.5,3.4,1.0,0.5,0.25,34.5125048072579
194,0.25,1.5,0.0,0.0,0.5,3.99,0.75,0.25,0.0,34.7814738920866
195,0.25,0.0,0.0,0.0,0.5,3.97,0.75,0.25,0.0,53.8339622932676
196,0.25,1.75,0.0,0.0,0.5,4.1,0.75,0.25,0.0,34.5103529751324
197,0.25,1.5,0.0,0.0,0.75,3.99,1.0,0.5,0.0,51.0208018281201
