,10_Pt/TiO2,11_PCN,12_Pt/CdS,13_Pt/WO3,20_Xylose-0.25M,21_Proline,22_Cysteine,23_Glucose,24_Cellobiose,30_NaOH-0.5M,31_CitricAcid-0.5M,32_AcidYellow73,33_AcidViolet43,34_AcidGreen1,Target
21,0.0,2.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802198000706329
22,0.49,1.04,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784043268260483
23,0.51,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03756742096881685
24,1.51,0.99,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03539386361312238
25,0.0,0.0,4.87,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822438822982718
26,0.0,0.0,4.96,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.852817339330125
27,0.0,0.0,0.0,3.1,0.5,0.0,0.0,0.5,2.0,0.5,0.0,0.5,0.0,0.25,0.04319747592480912
28,0.0,1.46,0.0,2.11,0.75,0.5,0.25,0.0,0.75,0.0,0.0,0.0,1.25,0.0,0.06436835131165758
29,3.49,0.49,0.0,0.0,1.0,0.0,0.5,0.25,0.25,1.25,0.0,0.0,0.25,0.25,1.776011667632781
30,0.9700000000000001,0.5,1.19,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,1.0,0.5595852729210712
31,0.5199999999999999,0.47,2.03,0.0,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,1.25,0.07053995005866592
32,0.0,0.98,0.46,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,1.25,0.0,0.04008757863049278
33,0.0,3.56,0.5599999999999999,0.0,1.5,0.25,0.25,0.75,0.0,0.0,0.0,0.5,0.0,0.75,0.4230061047207873
34,0.0,1.47,1.08,1.96,0.25,0.25,1.5,0.0,0.25,1.25,0.0,0.25,0.0,0.0,3.81011748992547
35,0.9600000000000001,0.45,0.0,2.7,0.25,0.0,0.0,0.5,0.75,1.75,0.0,0.0,0.0,0.25,0.4451833542365874
36,0.99,0.49,1.36,0.22,0.0,0.25,0.0,0.0,0.75,0.0,0.25,0.75,1.0,0.5,0.3704761663700409
