,10_Pt/TiO2,11_PCN,12_Pt/CdS,13_Pt/WO3,20_Xylose-0.25M,21_Proline,23_Glucose,24_Cellobiose,30_NaOH-0.5M,31_CitricAcid-0.5M,32_AcidYellow73,33_AcidViolet43,34_AcidGreen1,Target
81,4.52,0.0,0.0,0.0,0.0,2.5,0.0,0.25,0.0,1.0,0.0,0.0,0.25,3.556775663835163
82,4.48,0.0,0.0,0.0,0.0,2.5,0.25,0.25,0.0,1.0,0.0,0.0,0.0,2.615337944421113
83,4.57,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,1.0,0.0,0.75,0.0,3.772008718590721
84,5.11,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,1.0,0.0,0.75,0.0,4.290835812716171
85,4.49,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.25,0.0,0.0,0.0,3.126273023925965
86,4.38,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,2.25,0.0,0.0,0.0,3.425741463500934
87,5.159999999999999,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,3.25,0.0,0.0,0.0,3.695387855963756
88,4.819999999999999,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,3.25,0.0,0.0,0.0,3.51439372295522
89,4.63,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.25,0.0,0.0,0.0,4.199203249393605
90,0.0,2.96,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356918672143837
91,0.0,2.61,0.47,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511458838557605
92,4.87,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7013463080611387
93,5.09,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.226820447955165
94,4.33,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.046570916616098
95,0.0,2.93,0.0,0.13,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1073965574495055
96,0.0,2.02,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460254425442413
97,0.0,3.65,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2048050005420441
98,0.0,2.95,0.36,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09960146990747841
99,4.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,2.75,0.0,3.799516053869827
100,5.100000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,2.75,0.0,3.153464007993787
101,5.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,3.282588628637389
102,2.96,0.48,0.6,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.1044921013723029
103,4.890000000000001,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,2.836593120883762
104,5.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.125187488585508
105,4.67,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.25,0.0,2.5,0.0,2.680406106961453
106,5.04,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.459662809235419
107,4.94,0.0,0.0,0.0,0.25,3.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.500683251772404
108,5.029999999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.25,0.0,0.0,3.853119116773756
109,5.09,0.0,0.0,0.0,0.25,2.75,0.0,0.0,0.0,0.5,0.0,0.75,0.0,3.069591482189084
110,5.05,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,2.0,0.25,0.0,0.0,4.033331579976657
111,4.98,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.25,0.0,0.0,0.0,4.611070766130903
112,4.47,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.25,0.5,0.0,0.75,0.0,4.778559899090788
113,4.53,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.5,0.25,0.0,0.0,4.568776939020778
114,4.33,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.5,0.0,2.25,0.0,3.781467818930099
115,4.55,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.25,0.0,0.0,0.0,2.564623414730974
116,4.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,2.25,1.0,0.0,0.0,3.032267292889944
117,4.850000000000001,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,2.25,0.0,0.0,0.0,2.94307007812376
118,4.98,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.25,0.25,0.0,0.25,3.485265319300162
119,5.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.75,0.0,2.25,0.0,3.749211619037401
120,4.31,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,2.0,0.0,0.0,0.0,3.286495195151673
121,5.029999999999999,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.332702315761098
122,4.53,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.959806780180672
123,5.15,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.25,0.0,1.75,0.0,3.628893439243953
124,4.44,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.25,0.0,1.75,0.0,3.811749990169166
125,4.12,0.0,0.53,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,2.25,0.0,2.430879759819628
126,0.3,1.38,1.05,0.09000000000000001,0.25,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.75,0.1338455766811045
127,4.52,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.5,0.0,1.5,0.0,3.242661033345991
128,4.88,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.5,0.0,1.5,0.0,3.270606434419323
129,0.0,1.46,0.66,2.41,0.0,0.25,0.25,0.0,1.0,0.5,0.0,0.0,0.5,0.0549091232923103
130,0.0,0.0,1.39,0.0,1.75,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.25,0.092941885383591
131,0.0,0.96,0.47,0.98,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.25,0.5,0.0483066866201645
132,1.03,0.99,1.5,0.26,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.25,1.25,0.0436505207895219
133,0.5,1.01,0.96,0.27,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.0,2.0,0.238915525477617
134,0.45,1.99,0.0,1.47,0.75,0.25,0.5,0.0,0.0,1.75,0.0,0.0,0.0,1.16828353460645
135,0.0,1.01,0.0,3.51,1.25,0.5,0.0,0.5,1.25,0.0,0.0,0.0,0.25,0.386911084255585
136,0.0,0.0,2.17,1.09,0.0,0.75,0.5,0.0,0.5,0.25,0.5,1.0,0.0,0.0469908690079109
137,0.0,0.0,1.61,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037665217047861
138,0.48,0.0,0.92,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403893087259858
139,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375969743756918
140,0.0,2.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380219800070632
141,0.49,1.04,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378404326826048
142,0.51,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375674209688168
143,1.51,0.99,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353938636131223
144,0.0,0.0,0.0,3.1,0.5,0.0,0.5,2.0,0.5,0.0,0.5,0.0,0.25,0.0431974759248091
145,0.97,0.5,1.19,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.75,0.0,1.0,0.559585272921071
146,0.519999999999999,0.47,2.03,0.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5,1.25,0.0705399500586659
147,0.0,0.98,0.46,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,1.25,0.0,0.0400875786304927
148,0.96,0.45,0.0,2.7,0.25,0.0,0.5,0.75,1.75,0.0,0.0,0.0,0.25,0.445183354236587
149,0.99,0.49,1.36,0.22,0.0,0.25,0.0,0.75,0.0,0.25,0.75,1.0,0.5,0.37047616637004
150,2.55,0.0,0.0,1.32,0.0,2.25,0.0,0.25,0.0,0.25,0.0,0.5,0.25,2.54324634018056
151,0.0,1.07,1.97,1.0,0.0,0.25,1.5,0.25,0.75,0.25,0.5,0.0,0.0,0.151461801879398
152,1.0,0.0,2.05,0.84,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.75,0.0627359580165551
153,0.0,2.01,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468146616655546
154,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450437894411141
155,0.0,3.51,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0420662437346114
156,0.0,0.96,0.42,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441452878891627
157,2.53,0.0,0.46,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388123446692809
158,0.0,1.54,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395295799435311
159,2.02,0.98,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400645853588221
160,4.41,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15179920893004
161,5.61,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.25,0.0,0.0,0.0,0.5,4.29759078483879
162,4.4,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.40607416231964
163,4.43,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5371381648463
164,4.52,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,3.78900107576767
165,4.95,0.0,0.0,0.0,0.0,3.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,3.08563794001848
166,4.44,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.08668801936867
167,5.45,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.70890470883011
168,4.97,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,3.39890771859869
169,0.0,0.0,4.97,0.0,0.0,3.5,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.189236144826785
170,0.0,0.0,4.94,0.0,0.0,3.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.16924776747993
171,0.0,0.0,4.5,0.0,0.0,3.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.151754109920138
172,0.0,0.0,5.11,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.302806707856891
173,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0709658602790593
174,0.0,1.55,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.367498165813524
175,4.68,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.67007297496542
176,4.98999999999999,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.55357356647417
177,4.46,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.25,0.5,0.0,0.0,5.3415043500336
178,5.05,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,5.55296621358767
179,4.97,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.30006878910036
180,4.41,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.13073004499549
181,0.0,0.27,0.0,0.0,0.0,1.75,0.0,0.0,2.25,0.75,0.0,0.0,0.0,0.171938323378829
182,0.0,3.87,0.0,0.0,0.0,1.75,0.0,0.0,2.25,0.75,0.0,0.0,0.0,0.248485955256567
183,4.49,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.25,0.25,0.75,0.0,2.5074860837013
184,5.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.25,0.25,0.75,0.0,4.11412153257181
185,4.98999999999999,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,0.75,0.0,4.5290269695963
186,4.44,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,3.64763912929531
187,4.93,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,4.10766722069265
188,4.47,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.5,0.5,0.75,0.0,3.96937002692809
